Watch,Time
watch1,10:10:30
watch2,11:15:12
watch3,10:10:25
watch4,10:11:48
watch5,10:08:31
watch6,12:47:00
watch7,10:10:35
watch8,10:09:33
watch9,10:09:40
watch10,10:08:21
watch11,10:10:37
watch12,10:08:36
watch13,10:08:36
watch14,10:08:34
watch15,10:10:36
watch16,10:08:37
watch17,10:10:36
watch18,10:09:37
watch19,10:08:36
watch20,10:08:37
watch21,10:08:37
watch22,10:08:37
watch23,10:08:41
watch24,10:09:55
watch25,02:51:58
watch26,10:08:37
watch27,10:08:36
watch28,10:07:06
watch29,10:10:59
watch30,10:10:00
watch31,10:10:34
watch32,10:07:36
watch33,10:09:35
watch34,10:08:36
watch35,01:49:14
watch36,10:10:00
watch37,10:10:06
watch38,10:09:36
watch39,10:01:00
watch40,10:12:00
watch41,10:11:37
watch42,03:42:48
watch43,10:10:36
watch44,10:09:00
watch45,10:09:00
watch46,10:07:35
watch47,10:11:36
watch48,10:07:33
watch49,10:09:00
watch50,10:09:00
watch51,10:09:00
watch52,10:09:00
watch53,10:10:00
watch54,10:09:00
watch55,10:10:00
watch56,10:11:37
watch57,10:10:00
watch58,10:07:00
watch59,10:14:00
watch60,10:06:00
watch61,06:40:48
watch62,10:10:00
watch63,09:10:30
watch64,10:08:00
watch65,10:08:00
watch66,10:11:00
watch67,10:11:40
watch68,10:09:00
watch69,03:14:00
watch70,10:09:00
watch71,10:08:26
watch72,03:49:20
watch73,10:10:00
watch74,10:10:52
watch75,10:06:00
watch76,10:09:00
watch77,10:11:00
watch78,10:09:00
watch79,06:47:54
watch80,10:09:00
watch81,10:11:27
watch82,10:08:00
watch83,10:09:00
watch84,10:09:00
watch85,10:12:36
watch86,10:10:00
watch87,10:12:36
watch88,10:10:00
watch89,10:08:00
watch90,10:09:00
watch91,10:11:36
watch92,10:10:00
watch93,10:08:00
watch94,10:40:00
watch95,10:08:00
watch96,01:51:25
watch97,07:55:00
watch98,01:51:00
watch99,10:10:00
watch100,10:10:00
watch101,01:54:00
watch102,10:07:00
watch103,10:10:00
watch104,10:08:37
watch105,10:10:00
watch106,10:10:00
watch107,04:44:00
watch108,10:09:37
watch109,10:08:00
watch110,10:09:00
watch111,10:09:00
watch112,10:09:00
watch113,10:07:00
watch114,10:10:35
watch115,10:07:47
watch116,10:10:50
watch117,10:09:00
watch118,10:09:40
watch119,10:09:00
watch120,10:10:00
watch121,10:11:37
watch122,09:55:31
watch123,10:11:37
watch124,10:08:00
watch125,10:09:00
watch126,10:08:35
watch127,10:07:00
watch128,10:09:00
watch129,02:49:33
watch130,10:08:00
watch131,10:09:00
watch132,10:11:00
watch133,00:22:00
watch134,01:51:00
watch135,07:51:36
watch136,10:07:00
