Image Name,Predicted Time
PXL_20241203_14532891121,failed
watch761,03:38:18
watch756,06:12:16
Imagem WhatsApp 2024-12-03 às 14.43,failed
Imagem WhatsApp 2024-12-03 às 14.43.40_c7bb7da1,failed
Imagem WhatsApp 2024-12-03 às 14.47,failed
Imagem WhatsApp 2024-12-03 às 14.47.00_b3f0745f,failed
Imagem WhatsApp 2024-09-29 às 20.23,failed
Imagem WhatsApp 2024-09-29 às 20.23.51_028a91e7,failed
watch_test1,10:10:34
watch_test2,01:55:44
Imagem WhatsApp 2024-09-29 às 20.23.51_2fb63978,failed
watch_test21,failed
watch_test13,failed
watch_test3,failed
watch_test9,10:10:38
watch_test14,failed
Captura de ecrã 2024-12-04 235342,06:09:45
