Image Name,Predicted Time
watch_test1,10:10:00
watch_test2,01:56:00
watch_test3,failed
watch_test4,05:00:00
watch_test5,09:05:00
watch_test6,08:12:00
watch_test7,10:11:00
watch_test8,04:11:00
watch_test9,09:12:00
watch_test10,08:26:00
watch_test11,09:11:00
watch_test12,failed
watch_test13,failed
watch_test14,06:10:00
watch_test15,07:55:00
watch_test16,07:51:00
watch_test17,09:00:00
watch_test18,10:13:00
watch_test19,failed
watch_test20,02:22:00
watch_test21,12:08:00
watch_test22,11:09:00
watch_test23,10:10:00
watch_test24,failed
watch_test25,11:33:00
watch_test26,10:29:00
watch_test27,failed
watch_test28,09:50:00
watch_test29,10:11:00
watch_test30,failed
watch_test31,01:51:00
watch_test32,10:09:00
watch_test33,10:53:00
watch_test34,10:30:00
watch_test35,04:20:00
watch_test36,04:10:00
watch_test37,01:55:00
watch_test38,10:09:00
watch_test39,09:11:00
watch_test40,09:11:00
watch_test41,10:10:00
watch_test42,09:10:00
watch_test43,failed
watch_test44,10:07:00
watch_test45,10:08:00
watch_test46,09:09:00
watch_test47,10:09:00
watch_test48,10:18:00
watch_test49,10:09:00
watch_test50,09:31:00
watch_test51,01:51:00
watch_test52,10:28:00
watch_test53,10:07:00
watch_test54,10:12:00
watch_test55,05:03:00
watch_test56,01:56:00
watch_test57,12:30:00
watch_test58,failed
watch_test59,01:38:00
watch_test60,11:05:00
watch_test61,03:50:00
watch_test62,10:12:00
watch_test63,02:26:00
watch_test64,09:27:00
watch_test65,02:51:00
watch_test66,01:11:00
watch_test67,01:49:00
watch_test68,05:42:00
watch_test69,08:04:00
watch_test70,11:49:00
watch_test71,07:06:00
watch_test72,06:14:00
watch_test73,failed
watch_test74,failed
watch_test75,09:11:00
watch_test76,07:52:00
watch_test77,05:41:00
watch_test78,10:08:00
watch_test79,12:44:00
watch_test80,09:49:00
watch_test81,02:01:00
watch_test82,09:52:00
watch_test83,09:09:00
watch_test84,09:58:00
watch_test85,01:48:00
watch_test86,10:09:00
watch_test87,03:34:00
watch_test88,failed
watch_test89,12:01:00
watch_test90,02:31:00
watch_test91,10:51:00
watch_test92,11:35:00
watch_test93,failed
watch_test94,10:09:00
watch_test95,07:48:00
watch_test96,10:08:00
watch_test97,03:34:00
watch_test98,12:08:00
watch_test99,01:18:00
watch_test100,07:19:00
watch_test101,failed
watch_test102,10:49:00
watch_test103,failed
watch_test104,09:16:00
watch_test105,01:22:00
watch_test106,02:32:00
watch_test107,02:13:00
watch_test108,failed
watch_test109,08:12:00
watch_test110,12:36:00
watch_test111,11:35:00
watch_test112,failed
watch_test113,11:47:00
watch_test114,09:49:00
watch_test115,06:09:00
watch_test116,12:40:00
watch_test117,06:37:00
watch_test118,10:39:00
