Image Name,Predicted Time
watch_test2,01:55:44
watch_test1,10:09:35
watch_test10,08:29:30
watch_test100,06:38:19
watch_test101,09:11:33
watch_test102,10:49:44
watch_test103,failed
watch_test104,09:15:43
watch_test105,01:22:36
watch_test106,failed
watch_test107,02:13:52
watch_test108,failed
watch_test109,08:11:41
watch_test11,10:10:47
watch_test12,02:01:30
watch_test13,failed
watch_test14,06:10:44
watch_test15,failed
watch_test16,failed
watch_test17,06:34:56
watch_test18,10:11:19
watch_test19,failed
watch_test20,failed
watch_test21,11:47:47
watch_test22,failed
watch_test23,10:09:51
watch_test24,08:15:43
watch_test25,11:33:00
watch_test26,failed
watch_test27,failed
watch_test28,failed
watch_test29,failed
watch_test3,failed
watch_test30,failed
watch_test31,failed
watch_test32,10:08:36
watch_test33,10:18:53
watch_test34,failed
watch_test35,04:20:00
watch_test36,04:37:00
watch_test37,01:55:27
watch_test38,10:08:00
watch_test39,10:09:33
watch_test4,02:06:46
watch_test40,10:10:00
watch_test41,10:09:38
watch_test42,10:09:29
watch_test43,10:10:31
watch_test44,10:07:15
watch_test45,10:07:37
watch_test46,09:08:42
watch_test47,09:08:37
watch_test48,10:18:00
watch_test49,10:08:35
watch_test5,11:14:00
watch_test50,03:54:00
watch_test51,10:09:51
watch_test52,failed
watch_test53,09:10:00
watch_test54,10:12:21
watch_test55,04:04:36
watch_test56,10:39:00
watch_test57,12:32:24
watch_test58,07:36:36
watch_test59,01:37:50
watch_test6,03:14:59
watch_test60,11:04:00
watch_test61,03:48:08
watch_test62,10:11:00
watch_test63,failed
watch_test64,03:57:23
watch_test65,10:31:07
watch_test66,01:11:00
watch_test67,01:26:27
watch_test68,failed
watch_test69,08:03:22
watch_test7,10:11:20
watch_test70,10:45:01
watch_test71,07:06:30
watch_test72,failed
watch_test73,failed
watch_test74,failed
watch_test75,10:10:38
watch_test76,07:51:00
watch_test77,11:57:07
watch_test78,10:08:36
watch_test79,08:43:05
watch_test8,01:37:49
watch_test80,failed
watch_test81,02:07:08
watch_test82,09:08:25
watch_test83,09:08:42
watch_test84,09:58:58
watch_test85,01:48:48
watch_test86,10:10:43
watch_test87,06:50:44
watch_test88,10:02:41
watch_test89,failed
watch_test9,10:09:40
watch_test90,10:11:00
watch_test91,failed
watch_test92,06:35:40
watch_test93,11:06:57
watch_test94,10:09:00
watch_test95,failed
watch_test96,10:08:42
watch_test97,07:57:39
watch_test98,06:37:00
watch_test99,01:17:11
Imagem WhatsApp 2024-11-26 às 18.39,09:46:07
Imagem WhatsApp 2024-11-26 às 18.39.58_72361ea3,failed
Imagem WhatsApp 2024-11-26 às 18.39.59_76ca4de6,failed
1,09:49:00
GIE2jsgW0AAubyy,failed
images (6),10:12:00
images (5),10:09:54
images (3),failed
images (2),03:07:00
4dbd905-111604-relogio-em-aco-de-mulher-palace,failed
images2),03:07:00
images1),09:42:09
61Uu1zecQFL,01:54:00
"61Uu1zecQFL._AC_UF894,1000_QL80_",failed
PXL_20241203_14532891121,10:33:33
oooo,failed
sg-11134201-7rd3y-lv52o6xdip6o2d,failed
sg-11134201-7rcc7-ls8flek31nm826,02:04:08
