epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.80203,1.13884,3.58231,1.44487,0,0,0,0,0,24.9028,0,0,0,0
2,9.30341,1.003,3.42227,1.28219,0,0,0,0,0,24.9032,0,1.1e-05,1.1e-05,1.1e-05
3,13.7698,1.05775,3.6509,1.36169,0,0,0,0,0,24.9021,0,2.178e-05,2.178e-05,2.178e-05
4,17.6487,1.13986,3.40967,1.56555,0,0,0,0,0,24.8977,0,3.23401e-05,3.23401e-05,3.23401e-05
5,21.4648,1.18323,3.55258,1.46966,0,0,0,0,0,24.8908,0,4.26802e-05,4.26802e-05,4.26802e-05
6,25.2013,0.95687,3.50352,1.32749,0,0,0,0,0,24.8816,0,5.28003e-05,5.28003e-05,5.28003e-05
7,28.9741,0.98702,3.42326,1.57339,0,0,0,0,0,24.8714,0,6.27004e-05,6.27004e-05,6.27004e-05
8,33.0539,1.01256,3.47034,1.34886,0,0,0,0,0,24.8589,0,7.23805e-05,7.23805e-05,7.23805e-05
9,36.5447,0.84223,3.13631,1.25382,0,0,0,0,0,24.8417,0,8.18407e-05,8.18407e-05,8.18407e-05
10,39.9106,0.76728,2.99033,1.24785,0,0,0,0,0,24.8215,0,9.10809e-05,9.10809e-05,9.10809e-05
11,43.3428,1.08183,3.27631,1.53636,0,0,0,0,0,24.8005,0,0.000100101,0.000100101,0.000100101
12,46.6876,0.79373,2.7401,1.16225,0,0,0,0,0,24.7763,0,0.000108901,0.000108901,0.000108901
13,50.4556,0.65997,2.56608,1.15453,0,0,0,0,0,24.7528,0,0.000117482,0.000117482,0.000117482
14,53.9221,0.68522,2.42952,1.16257,0,0,0,0,0,24.7363,0,0.000125842,0.000125842,0.000125842
15,57.3263,0.80725,2.30664,1.28453,0,0,0,0,0,24.7295,0,0.000133982,0.000133982,0.000133982
16,60.834,0.714,1.95789,1.12323,0,0,0,0,0,24.7476,0,0.000141902,0.000141902,0.000141902
17,64.5136,0.765,2.01784,1.08171,0,0,0,0,0,24.7925,0,0.000149603,0.000149603,0.000149603
18,68.2566,0.81756,1.86293,1.07857,0,0,0,0,0,24.7925,0,0.000157083,0.000157083,0.000157083
19,71.9359,0.68661,1.71574,1.10388,0,0,0,0,0,24.9022,0,0.000164344,0.000164344,0.000164344
20,75.8074,0.63617,1.59716,1.08936,0,0,0,0,0,24.9022,0,0.000171384,0.000171384,0.000171384
21,79.6424,0.75299,1.5277,1.06763,0,0,0,0,0,25.0606,0,0.000178204,0.000178204,0.000178204
22,83.9418,0.66118,1.49475,1.05185,0,0,0,0,0,25.0606,0,0.000184805,0.000184805,0.000184805
23,87.7991,0.8273,1.79653,1.2257,0,0,0,0,0,25.1575,0,0.000191185,0.000191185,0.000191185
24,91.5449,0.64088,1.39598,1.07223,0,0,0,0,0,25.1575,0,0.000197346,0.000197346,0.000197346
