epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.5501,2.19344,4.67441,2.21833,0.00355,0.22357,0.0564,0.01927,2.24395,4.05045,2.22978,0.00331731,0.00331731,0.00331731
2,117.899,1.8073,4.23325,1.96293,0.00305,0.25723,0.026,0.01077,2.43364,3.93382,2.49721,0.00663418,0.00663418,0.00663418
3,177.39,1.72829,3.87746,1.98083,0.00276,0.25518,0.00395,0.00092,2.99988,4.21619,3.25957,0.00993455,0.00993455,0.00993455
4,235.756,1.7286,3.73285,2.0026,0.00198,0.20375,0.0056,0.0017,2.64955,4.01072,2.7756,0.00992575,0.00992575,0.00992575
5,293.808,1.65784,3.59362,1.96004,0.00235,0.16915,0.00593,0.00138,3.1025,4.26377,3.26961,0.009901,0.009901,0.009901
6,376.491,1.64855,3.51502,1.92869,0.00122,0.17294,0.00212,0.00053,2.87018,4.35761,2.79503,0.00987625,0.00987625,0.00987625
7,426.8,1.62191,3.46841,1.9405,0.00195,0.23355,0.00604,0.00167,2.85873,4.04004,2.93103,0.0098515,0.0098515,0.0098515
8,477.279,1.63051,3.44338,1.91872,0.00149,0.19039,0.0108,0.00241,2.92376,4.1356,2.98941,0.00982675,0.00982675,0.00982675
9,526.737,1.63009,3.41521,1.9185,0.00143,0.19216,0.00713,0.00216,3.03876,4.11777,3.08124,0.009802,0.009802,0.009802
10,575.976,1.59547,3.39248,1.90758,0.00178,0.18647,0.00301,0.00071,3.08626,4.33556,3.08227,0.00977725,0.00977725,0.00977725
11,631.721,1.59915,3.38257,1.9004,0.0024,0.21463,0.00375,0.00093,3.21102,4.27189,3.36871,0.0097525,0.0097525,0.0097525
12,681.723,1.60579,3.39278,1.89078,0.00173,0.2003,0.00498,0.00118,3.30876,4.29794,3.33604,0.00972775,0.00972775,0.00972775
13,733.021,1.58494,3.38096,1.88651,0.00194,0.18229,0.00468,0.00137,3.00027,4.1456,2.90074,0.009703,0.009703,0.009703
14,782.745,1.57881,3.37553,1.87133,0.00179,0.13188,0.00422,0.0009,3.42644,4.51372,3.21298,0.00967825,0.00967825,0.00967825
15,831.631,1.59865,3.38998,1.87331,0.00193,0.15511,0.00445,0.00091,3.5556,4.12318,3.45993,0.0096535,0.0096535,0.0096535
16,881.034,1.57745,3.38304,1.86695,0.00241,0.21421,0.00372,0.0008,3.29742,4.30807,3.26071,0.00962875,0.00962875,0.00962875
17,930.366,1.61791,3.3587,1.89762,0.00113,0.20153,0.00547,0.00141,3.08807,4.25446,2.94369,0.009604,0.009604,0.009604
18,980.007,1.56317,3.36137,1.86046,0.00374,0.0971,0.00421,0.00098,3.00838,4.35321,3.0282,0.00957925,0.00957925,0.00957925
19,1029.09,1.56,3.36734,1.86113,0.00238,0.2348,0.00886,0.0022,2.92965,3.9364,2.85982,0.0095545,0.0095545,0.0095545
20,1078.68,1.57108,3.3668,1.8581,0.0024,0.23198,0.00375,0.0009,3.14926,4.25052,3.19692,0.00952975,0.00952975,0.00952975
21,1127.66,1.57832,3.36162,1.8577,0.00134,0.20297,0.00472,0.00103,3.10139,4.00968,2.97407,0.009505,0.009505,0.009505
22,1177.51,1.57423,3.3543,1.85113,0.0008,0.18841,0.00712,0.00158,3.04899,4.31867,3.05687,0.00948025,0.00948025,0.00948025
23,1227.57,1.54733,3.35752,1.84089,0.00142,0.11491,0.00205,0.00045,3.25951,4.61667,3.33538,0.0094555,0.0094555,0.0094555
