fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.72359,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.73101,0.00972,0.00979,0.93883,0.0005,2.88938,0.8,7.86031,0.5,1.51617,0.01468,0.66991,0.41405,0.0,0.09758,0.48822,0.0,0.0,0.0,0.49082,0.0,1.0,0.0,0.0
0.72733,0.0098,0.01189,0.93883,0.00058,2.46454,0.66336,7.86031,0.57417,1.51617,0.01425,0.66991,0.40904,0.0,0.10254,0.52291,0.0,0.0,0.0,0.46707,0.0,0.83637,0.0,0.0
0.72573,0.00979,0.00979,0.93894,0.0005,2.89448,0.8,7.86031,0.5,1.52472,0.01473,0.66054,0.41405,0.0,0.09721,0.47819,0.0,0.0,0.0,0.50028,0.0,0.99409,0.0,0.0
0.71683,0.00935,0.01162,0.93456,0.00058,2.46454,0.63711,7.35153,0.59927,1.548,0.01346,0.65288,0.40904,0.0,0.1092,0.54175,0.0,0.0,0.0,0.48117,0.0,0.88616,0.0,0.0
0.72556,0.00923,0.00715,0.93804,0.00044,3.3878,0.95,7.86031,0.52128,1.98902,0.00892,0.54471,0.41405,0.0,0.09597,0.5796,0.0,0.0,0.0,0.42813,0.0,1.0,0.0,0.0
0.72024,0.01006,0.00979,0.92139,0.0005,2.52244,0.77837,8.0423,0.5,1.53649,0.01468,0.56461,0.41518,0.0,0.09254,0.45865,0.0,0.0,0.0,0.47969,0.0,1.0,0.0,0.0
0.7164,0.00949,0.00985,0.95892,0.00044,2.45656,0.82419,7.17581,0.51297,1.49115,0.01332,0.7227,0.37943,0.0,0.09784,0.56526,0.0,0.0,0.0,0.48368,0.0,1.0,0.0,0.0
0.71997,0.00833,0.00875,0.93883,0.00039,2.83013,0.80248,7.95957,0.47445,1.51997,0.01468,0.66194,0.45248,0.0,0.09758,0.50199,0.0,0.0,0.0,0.51082,0.0,1.0,0.0,0.0
0.71565,0.01255,0.011,0.9358,0.0005,3.11377,0.77407,7.86031,0.5,1.80127,0.01459,0.74024,0.41405,0.0,0.07678,0.48822,0.0,0.0,0.0,0.58471,0.0,0.79126,0.0,0.0
